"title","rating","summary","genere","cast","writer","director"
"Mowgli: Legend of the Jungle (2018)","6.5","
                    The story follows the upbringing of the human child Mowgli raised by a pack of wolves in the jungles of India. As he learns the often harsh rules of the jungle, under the tutelage of a bear named Baloo and a black panther named Bagheera, Mowgli becomes accepted by the animals of the jungle as one of their own, except for one; the fearsome tiger Shere Khan. But there may be greater dangers lurking in the jungle, as Mowgli comes face to face with his human origins.
                Written by
bockalonge            ","Adventure Drama Fantasy","Christian BaleCate BlanchettBenedict CumberbatchSee full cast & crew","Callie KlovesRudyard Kipling","Andy Serkis"
"Bird Box (2018)","6.6","
                    In the wake of an unknown global terror, a mother must find the strength to flee with her children down a treacherous river in search of safety. Due to unseen deadly forces, the perilous journey must be made blindly. Directed by Emmy winner Susanne Bier, Bird Box is a thriller starring Academy Award winner Sandra Bullock, John Malkovich, Sarah Paulson, and Trevante Rhodes.
                Written by
Netflix            ","Drama Horror Sci-Fi","Sandra BullockTrevante RhodesJohn MalkovichSee full cast & crew","Eric HeissererJosh Malerman","Susanne Bier"
